Nombre;Tipo;SJR;Q;H_index;Total_docs;Total_docs_3_years;Total_refs;Total_cites_3_years;Citable_docs_3_years;Cites_doc_2_years;Ref_doc;Country;Url;Catalogue;Subject;Publisher;ISSN;Coverage;Scope;Graph
Nature Reviews Earth and Environment;journal;9.521;Q1;67;121;345;8513;7894;229;20.41;70.36;Switzerland;https://www.scimagojr.com/journalsearch.php?q=21101049051&tip=sid&clean=0;Atmospheric Science
Quarterly Journal of the Royal Meteorological Society;journal;4.347;Q1;166;202;668;11411;6093;664;3.10;56.49;United States;https://www.scimagojr.com/journalsearch.php?q=14082&tip=sid&clean=0;Atmospheric Science
Current Climate Change Reports;journal;3.713;Q1;53;4;31;477;288;30;8.89;119.25;Switzerland;https://www.scimagojr.com/journalsearch.php?q=21100873474&tip=sid&clean=0;Atmospheric Science
Wiley Interdisciplinary Reviews: Climate Change;journal;3.236;Q1;113;58;164;5906;2022;160;11.50;101.83;United States;https://www.scimagojr.com/journalsearch.php?q=19900191605&tip=sid&clean=0;Atmospheric Science
npj Climate and Atmospheric Science;journal;2.946;Q1;46;211;206;12518;1716;204;7.88;59.33;United States;https://www.scimagojr.com/journalsearch.php?q=21100982468&tip=sid&clean=0;Atmospheric Science
Journal of Climate;journal;2.464;Q1;330;494;1596;34534;8542;1594;4.89;69.91;United States;https://www.scimagojr.com/journalsearch.php?q=13550&tip=sid&clean=0;Atmospheric Science
Global Biogeochemical Cycles;journal;2.387;Q1;212;130;387;12652;2223;382;5.32;97.32;United States;https://www.scimagojr.com/journalsearch.php?q=21848&tip=sid&clean=0;Atmospheric Science
Weather and Climate Dynamics;journal;2.356;Q1;18;57;164;3757;746;164;4.27;65.91;Germany;https://www.scimagojr.com/journalsearch.php?q=21101089403&tip=sid&clean=0;Atmospheric Science
Climate Policy;journal;2.245;Q1;85;134;292;8224;2149;280;6.82;61.37;United Kingdom;https://www.scimagojr.com/journalsearch.php?q=22524&tip=sid&clean=0;Atmospheric Science
Bulletin of the American Meteorological Society;journal;2.149;Q1;231;175;724;8751;3433;674;4.83;50.01;United States;https://www.scimagojr.com/journalsearch.php?q=12074&tip=sid&clean=0;Atmospheric Science
Atmospheric Chemistry and Physics;journal;2.138;Q1;253;718;2521;57820;14519;2521;5.34;80.53;Germany;https://www.scimagojr.com/journalsearch.php?q=12091&tip=sid&clean=0;Atmospheric Science
Weather and Climate Extremes;journal;2.049;Q1;57;104;256;7060;1908;254;6.31;67.88;Netherlands;https://www.scimagojr.com/journalsearch.php?q=21100265617&tip=sid&clean=0;Atmospheric Science
Climate Dynamics;journal;1.958;Q1;191;578;1288;37510;6350;1285;4.50;64.90;Germany;https://www.scimagojr.com/journalsearch.php?q=12172&tip=sid&clean=0;Atmospheric Science
Journal of Southern Hemisphere Earth Systems Science;journal;1.849;Q1;12;10;61;412;277;59;2.39;41.20;Australia;https://www.scimagojr.com/journalsearch.php?q=21100843798&tip=sid&clean=0;Atmospheric Science
Advances in Atmospheric Sciences;journal;1.846;Q1;87;164;413;9622;2184;389;5.56;58.67;China;https://www.scimagojr.com/journalsearch.php?q=12064&tip=sid&clean=0;Atmospheric Science
Journals of the Atmospheric Sciences;journal;1.830;Q1;190;160;637;9424;1897;629;2.89;58.90;United States;https://www.scimagojr.com/journalsearch.php?q=13552&tip=sid&clean=0;Atmospheric Science
Journal of Geophysical Research: Atmospheres;journal;1.710;Q1;126;734;2255;52126;9812;2243;3.91;71.02;United States;https://www.scimagojr.com/journalsearch.php?q=21101038508&tip=sid&clean=0;Atmospheric Science
Agricultural and Forest Meteorology;journal;1.677;Q1;196;415;1130;31672;7255;1129;6.00;76.32;Netherlands;https://www.scimagojr.com/journalsearch.php?q=12067&tip=sid&clean=0;Atmospheric Science
Monthly Weather Review;journal;1.633;Q1;206;165;618;9824;1937;611;2.76;59.54;United States;https://www.scimagojr.com/journalsearch.php?q=13482&tip=sid&clean=0;Atmospheric Science
Journal of the Meteorological Society of Japan;journal;1.595;Q1;93;28;203;1179;540;187;2.37;42.11;Japan;https://www.scimagojr.com/journalsearch.php?q=13444&tip=sid&clean=0;Atmospheric Science
Paleoceanography and Paleoclimatology;journal;1.587;Q1;142;102;375;9729;1246;366;3.25;95.38;United States;https://www.scimagojr.com/journalsearch.php?q=21100852202&tip=sid&clean=0;Atmospheric Science
Advances in Climate Change Research;journal;1.551;Q1;46;92;215;4375;1392;207;6.07;47.55;China;https://www.scimagojr.com/journalsearch.php?q=21100310030&tip=sid&clean=0;Atmospheric Science
Boundary-Layer Meteorology;journal;1.490;Q1;129;96;249;5516;931;243;2.57;57.46;Netherlands;https://www.scimagojr.com/journalsearch.php?q=12132&tip=sid&clean=0;Atmospheric Science
Weather and Forecasting;journal;1.478;Q1;123;148;390;7390;1277;388;3.08;49.93;United States;https://www.scimagojr.com/journalsearch.php?q=14764&tip=sid&clean=0;Atmospheric Science
Journal of Geophysical Research: Biogeosciences;journal;1.459;Q1;81;220;804;17916;3122;780;3.72;81.44;United States;https://www.scimagojr.com/journalsearch.php?q=21101038507&tip=sid&clean=0;Atmospheric Science
IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing;journal;1.434;Q1;126;749;2209;40596;12362;2200;5.17;54.20;United States;https://www.scimagojr.com/journalsearch.php?q=17700155033&tip=sid&clean=0;Atmospheric Science
Journal of Hydrometeorology;journal;1.432;Q1;148;132;443;9083;1783;437;3.32;68.81;United States;https://www.scimagojr.com/journalsearch.php?q=29539&tip=sid&clean=0;Atmospheric Science
Atmospheric Research;journal;1.427;Q1;137;494;1395;31888;7379;1395;4.93;64.55;Netherlands;https://www.scimagojr.com/journalsearch.php?q=12092&tip=sid&clean=0;Atmospheric Science
Climatic Change;journal;1.393;Q1;217;169;880;10342;4494;847;4.58;61.20;Netherlands;https://www.scimagojr.com/journalsearch.php?q=12177&tip=sid&clean=0;Atmospheric Science
Elementa;journal;1.337;Q1;55;101;298;9209;1354;296;4.45;91.18;United States;https://www.scimagojr.com/journalsearch.php?q=21100777486&tip=sid&clean=0;Atmospheric Science
Scientific Online Letters on the Atmosphere;journal;1.331;Q1;39;25;146;617;254;142;1.53;24.68;Japan;https://www.scimagojr.com/journalsearch.php?q=5600152714&tip=sid&clean=0;Atmospheric Science
Urban Climate;journal;1.318;Q1;75;410;754;29146;5178;752;6.59;71.09;Netherlands;https://www.scimagojr.com/journalsearch.php?q=21100220478&tip=sid&clean=0;Atmospheric Science
Atmospheric Measurement Techniques;journal;1.297;Q1;114;314;1175;17618;4257;1175;3.33;56.11;Germany;https://www.scimagojr.com/journalsearch.php?q=21100197156&tip=sid&clean=0;Atmospheric Science
Geography Compass;journal;1.292;Q1;85;36;136;3428;647;136;3.93;95.22;United Kingdom;https://www.scimagojr.com/journalsearch.php?q=13300154704&tip=sid&clean=0;Atmospheric Science
Climate Risk Management;journal;1.266;Q1;50;99;249;7441;1363;247;5.19;75.16;Netherlands;https://www.scimagojr.com/journalsearch.php?q=21100312211&tip=sid&clean=0;Atmospheric Science
International Journal of Climatology;journal;1.221;Q2;192;460;1603;28433;6554;1603;3.99;61.81;United Kingdom;https://www.scimagojr.com/journalsearch.php?q=13507&tip=sid&clean=0;Atmospheric Science
Atmospheric Environment;journal;1.169;Q2;279;569;1725;35833;8400;1723;4.75;62.98;United Kingdom;https://www.scimagojr.com/journalsearch.php?q=23357&tip=sid&clean=0;Atmospheric Science
