Nombre;Tipo;SJR;Q;H_index;Total_docs;Total_docs_3_years;Total_refs;Total_cites_3_years;Citable_docs_3_years;Cites_doc_2_years;Ref_doc;Country;Url;Catalogue;Subject;Publisher;ISSN;Coverage;Scope;Graph
AI Open;journal;8.119;Q1;16;21;46;1045;1720;44;18.17;49.76;China;https://www.scimagojr.com/journalsearch.php?q=21101101212&tip=sid&clean=0;Computer Science Applications
Nature Biomedical Engineering;journal;7.951;Q1;116;201;441;11275;8533;347;20.56;56.09;United States;https://www.scimagojr.com/journalsearch.php?q=21100831443&tip=sid&clean=0;Computer Science Applications
Science Robotics;journal;6.601;Q1;101;94;297;3891;5224;233;16.40;41.39;United States;https://www.scimagojr.com/journalsearch.php?q=21100886132&tip=sid&clean=0;Computer Science Applications
IEEE Wireless Communications;journal;5.926;Q1;188;167;460;1879;5302;420;10.00;11.25;United States;https://www.scimagojr.com/journalsearch.php?q=18935&tip=sid&clean=0;Computer Science Applications
IEEE Transactions on Cybernetics;journal;5.641;Q1;185;797;2103;31222;26174;2103;10.59;39.17;United States;https://www.scimagojr.com/journalsearch.php?q=21100274221&tip=sid&clean=0;Computer Science Applications
IEEE Communications Magazine;journal;5.631;Q1;282;341;599;3566;5764;482;7.40;10.46;United States;https://www.scimagojr.com/journalsearch.php?q=17249&tip=sid&clean=0;Computer Science Applications
IEEE Transactions on Wireless Communications;journal;5.371;Q1;251;1086;1927;28831;19313;1927;9.40;26.55;United States;https://www.scimagojr.com/journalsearch.php?q=18933&tip=sid&clean=0;Computer Science Applications
GigaScience;journal;4.621;Q1;88;109;395;7159;3822;395;11.10;65.68;United Kingdom;https://www.scimagojr.com/journalsearch.php?q=21100420802&tip=sid&clean=0;Computer Science Applications
IEEE Transactions on Automatic Control;journal;4.501;Q1;329;1007;1752;27160;12219;1751;6.50;26.97;United States;https://www.scimagojr.com/journalsearch.php?q=17339&tip=sid&clean=0;Computer Science Applications
IEEE Transactions on Industrial Informatics;journal;4.420;Q1;193;1035;2489;30287;32448;2432;12.46;29.26;United States;https://www.scimagojr.com/journalsearch.php?q=144912&tip=sid&clean=0;Computer Science Applications
npj Digital Medicine;journal;4.273;Q1;84;232;508;11375;8001;434;12.51;49.03;United Kingdom;https://www.scimagojr.com/journalsearch.php?q=21101012669&tip=sid&clean=0;Computer Science Applications
IEEE Transactions on Neural Networks and Learning Systems;journal;4.170;Q1;251;1818;1894;46076;23364;1884;11.83;25.34;United States;https://www.scimagojr.com/journalsearch.php?q=21100235616&tip=sid&clean=0;Computer Science Applications
MIS Quarterly: Management Information Systems;journal;4.105;Q1;271;60;207;4991;2019;205;7.27;83.18;United States;https://www.scimagojr.com/journalsearch.php?q=12402&tip=sid&clean=0;Computer Science Applications
Transactions of the Association for Computational Linguistics;journal;4.006;Q1;56;97;232;5911;5002;232;15.63;60.94;United States;https://www.scimagojr.com/journalsearch.php?q=21101049047&tip=sid&clean=0;Computer Science Applications
IEEE Transactions on Systems, Man, and Cybernetics: Systems;journal;3.992;Q1;171;682;1809;30712;17917;1803;10.19;45.03;United States;https://www.scimagojr.com/journalsearch.php?q=21100262320&tip=sid&clean=0;Computer Science Applications
ISPRS Journal of Photogrammetry and Remote Sensing;journal;3.760;Q1;187;289;777;21339;10766;772;11.83;73.84;Netherlands;https://www.scimagojr.com/journalsearch.php?q=29161&tip=sid&clean=0;Computer Science Applications
IEEE Transactions on Medical Imaging;journal;3.703;Q1;259;362;1038;16564;12917;1037;9.83;45.76;United States;https://www.scimagojr.com/journalsearch.php?q=16733&tip=sid&clean=0;Computer Science Applications
IEEE Transactions on Robotics;journal;3.669;Q1;190;287;503;14364;5784;503;11.72;50.05;United States;https://www.scimagojr.com/journalsearch.php?q=95101&tip=sid&clean=0;Computer Science Applications
Wiley Interdisciplinary Reviews: Computational Molecular Science;journal;3.473;Q1;105;48;162;8571;2884;160;19.44;178.56;United States;https://www.scimagojr.com/journalsearch.php?q=21100200203&tip=sid&clean=0;Computer Science Applications
IEEE Transactions on Industrial Electronics;journal;3.395;Q1;341;1638;3601;34386;32055;3597;8.45;20.99;United States;https://www.scimagojr.com/journalsearch.php?q=26053&tip=sid&clean=0;Computer Science Applications
IEEE Internet of Things Journal;journal;3.382;Q1;179;2188;4223;79060;43262;4195;9.22;36.13;United States;https://www.scimagojr.com/journalsearch.php?q=21100338350&tip=sid&clean=0;Computer Science Applications
Computers and Education: Artificial Intelligence;journal;3.227;Q1;29;79;106;5426;2196;105;18.85;68.68;Netherlands;https://www.scimagojr.com/journalsearch.php?q=21101074919&tip=sid&clean=0;Computer Science Applications
Journal of Management Information Systems;journal;3.070;Q1;170;48;132;3917;1016;124;5.82;81.60;United States;https://www.scimagojr.com/journalsearch.php?q=15700&tip=sid&clean=0;Computer Science Applications
Journal of Operations Management;journal;3.009;Q1;219;62;122;5143;960;111;6.49;82.95;Netherlands;https://www.scimagojr.com/journalsearch.php?q=19169&tip=sid&clean=0;Computer Science Applications
Computer-Aided Civil and Infrastructure Engineering;journal;2.972;Q1;109;177;330;10794;3645;282;11.16;60.98;United Kingdom;https://www.scimagojr.com/journalsearch.php?q=18144&tip=sid&clean=0;Computer Science Applications
Robotics and Computer-Integrated Manufacturing;journal;2.906;Q1;121;139;451;7589;6031;448;11.86;54.60;United Kingdom;https://www.scimagojr.com/journalsearch.php?q=18080&tip=sid&clean=0;Computer Science Applications
IEEE Transactions on Knowledge and Data Engineering;journal;2.867;Q1;204;1048;941;47239;8405;941;8.47;45.08;United States;https://www.scimagojr.com/journalsearch.php?q=17362&tip=sid&clean=0;Computer Science Applications
Transportation Research Part C: Emerging Technologies;journal;2.860;Q1;180;345;1080;20105;11151;1072;8.78;58.28;United Kingdom;https://www.scimagojr.com/journalsearch.php?q=20893&tip=sid&clean=0;Computer Science Applications
Operations Research;journal;2.848;Q1;161;132;400;6302;1292;399;2.63;47.74;United States;https://www.scimagojr.com/journalsearch.php?q=22238&tip=sid&clean=0;Computer Science Applications
Nature Computational Science;journal;2.797;Q1;27;193;339;5889;1649;159;4.86;30.51;United States;https://www.scimagojr.com/journalsearch.php?q=21101076096&tip=sid&clean=0;Computer Science Applications
IEEE Transactions on Intelligent Transportation Systems;journal;2.580;Q1;201;1484;3053;59257;29560;3035;9.00;39.93;United States;https://www.scimagojr.com/journalsearch.php?q=18378&tip=sid&clean=0;Computer Science Applications
International Journal of Educational Technology in Higher Education;journal;2.578;Q1;61;62;183;3613;2510;178;11.28;58.27;Netherlands;https://www.scimagojr.com/journalsearch.php?q=21100466714&tip=sid&clean=0;Computer Science Applications
Bioinformatics;journal;2.574;Q1;462;873;2948;26831;17461;2932;4.60;30.73;United Kingdom;https://www.scimagojr.com/journalsearch.php?q=17945&tip=sid&clean=0;Computer Science Applications
NAR Genomics and Bioinformatics;journal;2.454;Q1;25;110;347;5970;1644;346;4.07;54.27;United Kingdom;https://www.scimagojr.com/journalsearch.php?q=21101072502&tip=sid&clean=0;Computer Science Applications
Big Data and Society;journal;2.448;Q1;69;118;272;7280;2359;218;6.75;61.69;United Kingdom;https://www.scimagojr.com/journalsearch.php?q=21100933954&tip=sid&clean=0;Computer Science Applications
npj Computational Materials;journal;2.447;Q1;78;223;651;14356;6206;647;8.77;64.38;United Kingdom;https://www.scimagojr.com/journalsearch.php?q=21100850798&tip=sid&clean=0;Computer Science Applications
Internet and Higher Education;journal;2.426;Q1;117;18;76;1500;827;75;9.75;83.33;United Kingdom;https://www.scimagojr.com/journalsearch.php?q=16965&tip=sid&clean=0;Computer Science Applications
Journal of Network and Computer Applications;journal;2.417;Q1;141;140;497;12053;5581;494;10.53;86.09;United States;https://www.scimagojr.com/journalsearch.php?q=27277&tip=sid&clean=0;Computer Science Applications
Computer Methods in Applied Mechanics and Engineering;journal;2.397;Q1;231;611;2003;37240;15632;1999;7.46;60.95;Netherlands;https://www.scimagojr.com/journalsearch.php?q=18158&tip=sid&clean=0;Computer Science Applications
Computer Assisted Language Learning;journal;2.370;Q1;75;115;262;7711;2445;259;8.57;67.05;United Kingdom;https://www.scimagojr.com/journalsearch.php?q=144747&tip=sid&clean=0;Computer Science Applications
